judge,avg_d2v_vec1,avg_d2v_vec2,avg_d2v_vec3,avg_d2v_vec4,avg_d2v_vec5,avg_d2v_vec6,avg_d2v_vec7,avg_d2v_vec8,avg_d2v_vec9,avg_d2v_vec10,avg_d2v_vec11,avg_d2v_vec12,avg_d2v_vec13,avg_d2v_vec14,avg_d2v_vec15,avg_d2v_vec16,avg_d2v_vec17,avg_d2v_vec18,avg_d2v_vec19,avg_d2v_vec20,avg_d2v_vec21,avg_d2v_vec22,avg_d2v_vec23,avg_d2v_vec24,avg_d2v_vec25,non_air_pollution_single_judge_cases
Vipul M. Pancholi,-0.18994329500065257,-0.5188873654255292,-0.3883624632409632,-0.32234926960387766,-0.21896960040212926,-1.092777317610828,-0.2688540420934196,-0.3466109807742716,-0.8066776107074266,0.8878153637111227,-0.09609097965149944,0.004293499965008687,0.11095892331217583,-0.5494695843914733,-0.05187472355700056,-0.6649151126242937,-0.8441025630892786,0.4686321562784783,-0.3190416690344804,0.6523516269535519,0.4062632284259346,-0.10410089594012192,-0.5399336272990102,-0.7636055686779953,-0.3181671973028961,19570
Ram Mohan Reddy,0.08191901978000726,-0.24728913581474032,-0.002568269042496551,0.250654056367955,-0.16083604661733633,-1.42059512263463,-0.2976268625449178,0.08788622082733075,-0.4730934734518857,0.2763525804858185,-0.2515541964499813,-0.006248754809120662,-0.3730250860906991,-0.5160364197251854,0.25163380836257987,-0.7444304839379539,-0.529962074583944,0.5400780421920821,0.10433437345244193,0.3812714787888835,0.7843338497046031,-0.5555026150554899,-0.5831976304934907,-0.3011847405444238,0.008433641942028954,17684
Anand Byrareddy,0.1237864125632509,-0.4902774971794509,-0.21622438544370928,0.47877843285140564,-0.038911503702457696,-1.4308542408197247,-0.2593000577154568,0.28268773753806675,-0.6456618834652672,0.4155733074962907,0.13355223044057582,0.03013521633529214,-0.09615257559760042,-0.6835114058420054,0.2280270586003769,-0.9247438142216386,-0.7126559009037813,0.6580757254825078,-0.19326258498989898,0.4066575908433889,0.9493324519911932,-0.6146195751051304,-0.6466069689918635,-0.5421224244033385,-0.1394860053674722,17138
Arun Bhansali,-0.22024629834136064,-0.12806073671604407,-0.7007963653948253,0.011169300824289385,-0.1337257937360758,-1.526972618987635,-0.19756522769528737,-0.38067917613832664,-0.46760477819067076,0.19033166993808215,-0.3148378798038892,-0.24038673957333329,0.2862837204706293,-0.18637071947608388,0.06794855914234679,-0.5948331436681169,-0.9728475503125302,-0.041975572445570104,-0.49840048188399383,0.5907973502084334,0.24187667917193856,-0.06964574139439585,-0.6747350436519709,-0.27448959118994604,-0.5384940505906736,16967
A.Y. Kogje,-0.11749594660831636,-0.5006533830322031,-0.41444609608345345,-0.2216158367548969,-0.1274004955928633,-1.0876424242841116,-0.2839959940657472,-0.26203342231085386,-0.8762464280295759,0.87575894094126,-0.11266966660390525,0.007824580981451794,0.1510759516190103,-0.5301891909468913,0.0040952746948211965,-0.617393575217674,-0.7897518322013836,0.505111432398283,-0.3191190404777904,0.6470166192332574,0.48093267021680436,-0.04198241899648793,-0.4813571557337931,-0.7653853346324248,-0.1991791516951166,16191
A.J. Shastri,-0.35422946501535996,-0.2500793683801688,-0.35143434619356906,-0.23151048061896792,-0.060816082576955546,-0.8582330212525209,-0.057805907070046646,-0.2977824590583304,-0.5203532128059811,0.4774379501263954,-0.3312016045142856,-0.15806031225920442,0.12418828017075412,-0.1799239667939725,-0.09473221204555257,-0.42895553712852375,-0.6452477831691488,0.3724699505592933,-0.26889015956987045,0.5015248924851811,0.3531426902240211,-0.07517672927983249,-0.3540728639932055,-0.4745039882424288,-0.4676870291832032,15522
Soumen Sen,0.15598724601071434,-0.23014805144584685,-0.3952513666691437,-0.07502062490438126,-0.09351632899036534,-0.7408819907305926,-0.06263439812982874,0.05296663398578799,-0.4553623651507836,0.5861689237789615,-0.3904383562954319,0.035473138645462546,-0.14731223905901097,-0.3101006715576941,-0.11768622399184875,-0.3084823884253595,-0.7732475934357247,0.5876819082193298,-0.1723347217518369,0.5470208563206715,0.4075080571960327,-0.5510575084812269,-0.8688122767912707,-0.3923715737250812,-0.16274632712207143,15339
Sonia Gokani,-0.1556654629545639,-0.4391887447596679,-0.3870221096404816,-0.198002558645289,-0.08014596864305774,-0.9035671240639229,-0.03514622402367501,-0.248801894828254,-0.6099951106081609,0.744483021087503,-0.2702320300308098,-0.05116256364033874,0.16093869573253958,-0.27679503284820123,-0.04388548236420207,-0.5690692928823069,-0.8271090699089502,0.4284918599134073,-0.35903947373165396,0.6367564414832627,0.37279743523125264,-0.03669308642597126,-0.23547600750228462,-0.6684634198483888,-0.36223585952470955,14545
Ravi Malimath,0.10160727054389006,-0.34837816633823143,-0.22412050521355617,0.34135811996205584,-0.08031415747585531,-1.5881892644244777,-0.30507225623184325,0.2439860017312149,-0.6841234607568768,0.3009201097901293,-0.15550345672559032,0.0807279159087161,-0.14221135157797518,-0.6138193156008604,0.17136204043941242,-0.9595908523558356,-0.7541521285077585,0.6888782577452569,-0.16251821671400146,0.6686797446660276,0.9971476411771927,-0.6127212027012061,-0.7349784930435329,-0.47777179656056,-0.21250643815914547,11680
S.Abdul Nazeer,0.04381981732328115,-0.33829108360054244,-0.09491124805532672,0.34301063295503526,-0.1561678183268695,-1.5425832487382576,-0.2853785959148532,0.10847201692023367,-0.43829682091412564,0.3681391404247997,-0.1557270936200718,0.0037816909221901926,-0.3382082636783619,-0.6004738160253688,0.3448401506215598,-0.8610059998024062,-0.690127542781179,0.585569694826308,0.018241133423537528,0.45220634931053166,0.8389290276839055,-0.5935931075306948,-0.5878911130280514,-0.3763656509803366,-0.09711039787722534,10859
